1 fold training
['[0,5000]', 'loss=0.618', 'test_acu=0.414', 'test_f1_score=0.034', 'test_acc=0.242', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.233', 'test_macc=0.516', 'test_g_mean=0.432']
['[100,5000]', 'loss=0.580', 'test_acu=0.405', 'test_f1_score=0.036', 'test_acc=0.276', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.267', 'test_macc=0.534', 'test_g_mean=0.462']
['[200,5000]', 'loss=0.550', 'test_acu=0.406', 'test_f1_score=0.040', 'test_acc=0.357', 'test_ppr=0.021', 'test_sen=0.800', 'test_spe=0.349', 'test_macc=0.575', 'test_g_mean=0.529']
['[300,5000]', 'loss=0.528', 'test_acu=0.416', 'test_f1_score=0.044', 'test_acc=0.421', 'test_ppr=0.023', 'test_sen=0.800', 'test_spe=0.414', 'test_macc=0.607', 'test_g_mean=0.576']
['[400,5000]', 'loss=0.515', 'test_acu=0.438', 'test_f1_score=0.036', 'test_acc=0.465', 'test_ppr=0.019', 'test_sen=0.600', 'test_spe=0.462', 'test_macc=0.531', 'test_g_mean=0.527']
['[500,5000]', 'loss=0.508', 'test_acu=0.466', 'test_f1_score=0.027', 'test_acc=0.522', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.524', 'test_macc=0.462', 'test_g_mean=0.458']
['[600,5000]', 'loss=0.503', 'test_acu=0.492', 'test_f1_score=0.029', 'test_acc=0.545', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.548', 'test_macc=0.474', 'test_g_mean=0.468']
['[700,5000]', 'loss=0.501', 'test_acu=0.512', 'test_f1_score=0.031', 'test_acc=0.572', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.575', 'test_macc=0.488', 'test_g_mean=0.480']
['[800,5000]', 'loss=0.500', 'test_acu=0.521', 'test_f1_score=0.031', 'test_acc=0.579', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.582', 'test_macc=0.491', 'test_g_mean=0.483']
['[900,5000]', 'loss=0.499', 'test_acu=0.527', 'test_f1_score=0.033', 'test_acc=0.606', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.610', 'test_macc=0.505', 'test_g_mean=0.494']
['[1000,5000]', 'loss=0.499', 'test_acu=0.528', 'test_f1_score=0.033', 'test_acc=0.603', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.606', 'test_macc=0.503', 'test_g_mean=0.492']
['[1100,5000]', 'loss=0.498', 'test_acu=0.533', 'test_f1_score=0.033', 'test_acc=0.599', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.603', 'test_macc=0.501', 'test_g_mean=0.491']
['[1200,5000]', 'loss=0.498', 'test_acu=0.538', 'test_f1_score=0.033', 'test_acc=0.599', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.603', 'test_macc=0.501', 'test_g_mean=0.491']
['[1300,5000]', 'loss=0.498', 'test_acu=0.540', 'test_f1_score=0.032', 'test_acc=0.593', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.596', 'test_macc=0.498', 'test_g_mean=0.488']
['[1400,5000]', 'loss=0.497', 'test_acu=0.544', 'test_f1_score=0.031', 'test_acc=0.586', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.589', 'test_macc=0.495', 'test_g_mean=0.485']
['[1500,5000]', 'loss=0.497', 'test_acu=0.545', 'test_f1_score=0.031', 'test_acc=0.579', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.582', 'test_macc=0.491', 'test_g_mean=0.483']
['[1600,5000]', 'loss=0.497', 'test_acu=0.547', 'test_f1_score=0.030', 'test_acc=0.562', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.565', 'test_macc=0.483', 'test_g_mean=0.475']
['[1700,5000]', 'loss=0.496', 'test_acu=0.549', 'test_f1_score=0.029', 'test_acc=0.552', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.555', 'test_macc=0.477', 'test_g_mean=0.471']
['[1800,5000]', 'loss=0.496', 'test_acu=0.551', 'test_f1_score=0.028', 'test_acc=0.539', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.541', 'test_macc=0.471', 'test_g_mean=0.465']
['[1900,5000]', 'loss=0.496', 'test_acu=0.555', 'test_f1_score=0.027', 'test_acc=0.522', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.524', 'test_macc=0.462', 'test_g_mean=0.458']
['[2000,5000]', 'loss=0.496', 'test_acu=0.556', 'test_f1_score=0.027', 'test_acc=0.512', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.514', 'test_macc=0.457', 'test_g_mean=0.453']
['[2100,5000]', 'loss=0.495', 'test_acu=0.558', 'test_f1_score=0.026', 'test_acc=0.495', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.497', 'test_macc=0.448', 'test_g_mean=0.446']
