1 fold training
['[0,5000]', 'loss=0.524', 'test_acu=0.330', 'test_f1_score=0.082', 'test_acc=0.082', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.043', 'test_macc=0.521', 'test_g_mean=0.206']
['[100,5000]', 'loss=0.488', 'test_acu=0.319', 'test_f1_score=0.087', 'test_acc=0.143', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.106', 'test_macc=0.553', 'test_g_mean=0.326']
['[200,5000]', 'loss=0.460', 'test_acu=0.319', 'test_f1_score=0.100', 'test_acc=0.265', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.234', 'test_macc=0.617', 'test_g_mean=0.484']
['[300,5000]', 'loss=0.442', 'test_acu=0.340', 'test_f1_score=0.114', 'test_acc=0.367', 'test_ppr=0.061', 'test_sen=1.000', 'test_spe=0.340', 'test_macc=0.670', 'test_g_mean=0.583']
['[400,5000]', 'loss=0.430', 'test_acu=0.426', 'test_f1_score=0.080', 'test_acc=0.531', 'test_ppr=0.043', 'test_sen=0.500', 'test_spe=0.532', 'test_macc=0.516', 'test_g_mean=0.516']
['[500,5000]', 'loss=0.423', 'test_acu=0.543', 'test_f1_score=0.087', 'test_acc=0.571', 'test_ppr=0.048', 'test_sen=0.500', 'test_spe=0.574', 'test_macc=0.537', 'test_g_mean=0.536']
['[600,5000]', 'loss=0.417', 'test_acu=0.553', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[700,5000]', 'loss=0.412', 'test_acu=0.574', 'test_f1_score=0.100', 'test_acc=0.633', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.638', 'test_macc=0.569', 'test_g_mean=0.565']
['[800,5000]', 'loss=0.408', 'test_acu=0.585', 'test_f1_score=0.100', 'test_acc=0.633', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.638', 'test_macc=0.569', 'test_g_mean=0.565']
['[900,5000]', 'loss=0.405', 'test_acu=0.606', 'test_f1_score=0.100', 'test_acc=0.633', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.638', 'test_macc=0.569', 'test_g_mean=0.565']
['[1000,5000]', 'loss=0.401', 'test_acu=0.617', 'test_f1_score=0.105', 'test_acc=0.653', 'test_ppr=0.059', 'test_sen=0.500', 'test_spe=0.660', 'test_macc=0.580', 'test_g_mean=0.574']
